timestamp,velocity,acceleration,movement_variance,gaze_deviation,blink,valid_pose,valid_face,valid_combined
1788617893.3209505,0.0,0.0,0.0,False,False,True,True,True
1788617893.5234194,0.0,0.0,0.0,False,False,True,True,True
1788617893.5893335,0.48567414050008234,10.084404627495621,0.007787778573081925,False,False,True,True,True
1788617893.642704,7.949118326097584,139.79949982839523,0.026834362808081665,False,False,True,True,True
1788617893.7313905,0.5322186273226481,84.21297114926111,0.026843981860617958,False,False,True,True,True
1788617893.8468773,1.733645700903844,10.393332741884198,0.0059228593399894645,False,False,True,True,True
1788617893.9451456,1.3771062737088402,3.446826935766155,0.004992880733824438,False,False,True,True,True
1788617894.04685,0.6595131535419735,7.09596681306876,0.004454809574870333,False,False,True,True,True
1788617894.1464286,0.9667370324211731,3.0168156929019623,0.0028887387111171487,False,False,True,True,True
1788617894.2588763,1.156455272358931,1.5829914472885749,0.005747271724029943,False,False,True,True,True
1788617894.3572216,4.962825954676996,38.64101423513654,0.03180940740143893,False,False,True,True,True
1788617894.4627757,0.3293039243825115,44.37703054291851,0.037042687283653605,False,False,True,True,True
1788617894.5623283,4.6674439128233125,43.55954627290178,0.0329580988285569,False,False,True,True,True
1788617894.6604178,8.606447252790385,39.95295142551592,0.08141028017006861,False,False,True,True,True
1788617894.7529798,2.569564807028689,63.088004742175734,0.14263500859341735,False,False,True,True,True
1788617894.8526018,13.393720250508519,108.53006437129307,0.23487770932570806,False,False,True,True,True
1788617894.9410033,5.587415040949926,89.6280618279245,0.37790300138125343,False,False,True,False,False
1788617895.0530963,4.515853994835893,7.2514802226987385,0.09135688960022947,False,False,True,False,False
1788617895.1439502,26.204278338213516,240.02475946316397,0.9198564857604566,False,False,True,True,True
1788617895.2473023,6.0608533224637355,188.46202867357178,0.7338139866408848,False,False,True,False,False
1788617895.3405514,3.8527226992534507,21.041210020259197,0.10214495538583594,False,False,True,True,True
1788617895.4596364,3.2791655747280677,4.847408980036824,0.045199208300284316,False,False,True,True,True
1788617895.544386,6.03826682817878,33.67472669030138,0.10103487572984801,False,False,True,True,True
1788617895.6457317,11.067637656296867,48.844200969069895,0.18227494560284652,False,False,True,True,True
1788617895.7533903,7.57725087547607,31.058058047588634,0.17905276836479225,False,False,True,True,True
1788617895.850824,3.457080325001861,42.58418092832177,0.09287481887924917,False,False,True,True,True
1788617895.9461477,3.664324429424823,0.8543402686865176,0.022498032992490112,False,False,True,True,True
1788617896.0388918,2.0972906953750408,16.992541358838857,0.01842549585855025,False,False,True,True,True
1788617896.1530743,0.6415156051711217,12.658753035551499,0.005420957579079314,False,False,True,True,True
1788617896.2512543,1.1624157176870658,5.3478430432877175,0.0022486400340780708,False,False,True,True,True
1788617896.3466842,1.5476599863941043,4.146132503240156,0.0040494119472536776,False,False,True,True,True
1788617896.4454591,3.8419938184952254,23.229703917104363,0.020528813891401067,False,False,True,True,True
1788617896.555734,0.47201548966586165,30.485686010947447,0.02691192606598344,False,False,True,True,True
1788617896.6509707,0.4820176766007046,0.07859627654179713,0.000757819238083591,False,False,True,True,True
1788617896.7504842,9.228205955778755,87.9872192183061,0.14679463732486198,False,False,True,True,True
1788617896.8436015,2.2728895908480675,74.81410537605852,0.13339289219789832,False,False,True,True,True
1788617896.952335,6.436385530462349,38.464750417107645,0.11135737482650322,False,False,True,True,True
1788617897.0469947,3.118993473562017,33.82367132333083,0.06704262731218712,False,False,True,True,True
1788617897.1443455,1.9285139941982516,12.050703909478074,0.03201816270604258,False,False,True,True,True
1788617897.242691,1.3430825458730133,5.800636980673582,0.013675077045807636,False,False,True,True,True
1788617897.3544903,5.8066138495420025,39.76551044172604,0.06587113885404584,False,False,True,True,True
1788617897.4516606,0.817292172486026,51.294530471652116,0.08075755325906213,False,False,True,True,True
1788617897.5425222,2.7786976275911055,21.520782790299652,0.014002264730897739,False,False,True,True,True
1788617897.6416366,4.763273726406051,19.97802877276778,0.030863033782474045,False,False,True,True,True
1788617897.7558062,2.723963210067475,17.796773117200146,0.08426917696556613,False,False,True,True,True
1788617897.8473785,5.290105334695254,28.027372569561145,0.033244857704721055,False,False,True,True,True
1788617897.944086,1.2767308923932859,41.05814439558029,0.054439674889386745,False,False,True,True,True
1788617898.0603948,1.958968684916979,5.970373536271278,0.00786694606945409,False,False,True,True,True
1788617898.1548643,3.997809887217839,22.219978607559508,0.052333243723250704,False,False,True,True,True
1788617898.2556498,2.9733208489991387,10.812421734202198,0.065095833908449,False,False,True,True,True
1788617898.3515806,6.692913454259816,37.36134020277346,0.0584646343862682,False,False,True,True,True
1788617898.4705722,4.474215370962167,17.652052292189126,0.06418526886423807,False,False,True,True,True
1788617898.5523977,3.101891980229119,17.017639213935094,0.03971844839087251,False,False,True,True,True
1788617898.6509266,1.4128077901180756,17.373462148603494,0.021321349088734818,False,False,True,True,True
1788617898.7498224,4.1752875819900925,28.032971591056867,0.02574876036178678,False,False,True,True,True
1788617898.8600605,0.6765723832356965,31.017454567643536,0.03694730976530876,False,False,True,True,True
1788617898.9470813,1.5251512562541703,9.704311861174023,0.0028642205987023874,False,False,True,True,True
1788617899.0487592,0.8664378936611576,6.098338167919877,0.005875896772223939,False,False,True,True,True
1788617899.1465297,0.8716793112731032,0.13848115399608063,0.002564121059414061,False,False,True,True,True
1788617899.2565374,2.878215016860344,18.079727692687676,0.017900264242559156,False,False,True,True,True
1788617899.3547368,2.9762639519840546,2.0016103261801974,0.017329338155125204,False,False,True,True,True
1788617899.4459822,1.8596259048866264,12.343108619663028,0.0304974616970042,False,False,True,True,True
1788617899.5986855,2.2245000314191397,2.2128598017018244,0.016352928427334865,False,False,True,True,True
1788617899.6559372,6.208651003197604,69.4623095703034,0.022694948999013788,False,False,True,True,True
1788617899.7580104,4.884419331898947,15.142542371388018,0.03679647817229907,False,False,True,True,True
1788617899.849542,1.6222609738496094,35.68484113975491,0.0371927283951356,False,False,True,True,True
1788617899.9425254,0.35160948273714676,13.588386545454583,0.003583053371415753,False,False,True,True,True
1788617900.067397,2.950232598176851,20.81644656903498,0.024301498479315044,False,False,True,True,True
1788617900.1520631,1.791963442212409,13.774105976332175,0.019220155145834587,False,False,True,True,True
1788617900.2525306,1.2535647246604464,5.151888057011258,0.008591503401157191,False,False,True,True,True
1788617900.3626592,3.2318664368933825,17.99215253925053,0.01932538011666263,False,False,True,True,True
1788617900.461924,1.2087939577496813,20.226013966168335,0.02386801715878839,False,False,True,True,True
1788617900.5545151,3.9843450897324697,29.800074875894094,0.023522687217231514,False,False,True,True,True
1788617900.6563227,2.2584982284514266,17.097782067378912,0.04804636259504873,False,False,True,True,True
1788617900.7609293,2.155261396670604,0.9504524622013197,0.011164812164168886,False,False,True,True,True
1788617900.8559923,4.570350230594434,25.876428109717445,0.057704910501875824,False,False,True,True,True
1788617900.9575078,1.2906544886759785,32.10551735282242,0.02761656559035707,False,False,True,True,True
1788617901.057049,1.596792315011547,3.002709431107599,0.011391552932980567,False,False,True,True,True
1788617901.16,1.1754528712865102,4.387716591701409,0.004336612432731387,False,False,True,True,True
1788617901.2561386,4.531716574713193,34.901486881105434,0.0451091562878281,False,False,True,True,True
1788617901.354836,5.142169452583251,6.722234201959225,0.041327121306733564,False,False,True,True,True
1788617901.4480877,1.0179365636826605,43.5695526305999,0.0430253434988874,False,False,True,True,True
1788617901.5646982,0.21283161544458187,6.9190525118552655,0.001848939463543653,False,False,True,True,True
1788617901.6588733,1.1706444695442557,10.167988360226438,0.0027147627886808263,False,False,True,True,True
1788617901.7530084,0.6879182019856289,5.151514390847311,0.0020880578972081263,False,False,True,True,True
1788617901.8463237,0.433189521175784,2.787515740318597,0.0009619563841006163,False,False,True,True,True
1788617901.9650443,0.412317838989839,0.1973649086283204,0.0007486479394904352,False,False,True,True,True
1788617902.054543,2.1140183221388504,19.030216547742832,0.005541171797602225,False,False,True,True,True
1788617902.1500814,2.232047457020531,1.137998873461336,0.007566777568796908,False,False,True,True,True
1788617902.25124,0.440225299280935,17.532324668407096,0.009452441591799633,False,False,True,True,True
1788617902.3555274,2.614352653700109,20.891275574728567,0.012256398145341942,False,False,True,True,True
1788617902.4580655,0.6003953114252548,19.92496043796001,0.013606748410225081,False,False,True,True,True
1788617902.5528865,0.555323021717555,0.44753317041152324,0.0008617884443830066,False,False,True,True,True
1788617902.6610763,2.081095459737863,14.113170209009564,0.010459539586312632,False,False,True,True,True
1788617902.761696,3.6093142952865573,15.138425853412603,0.018787229553458046,False,False,True,True,True
1788617902.859717,4.774462303142811,12.101890805804807,0.03342106381156384,False,False,True,True,True
1788617902.944073,1.072854607399675,44.55878006479239,0.035571597698322306,False,False,True,True,True
1788617903.0563786,0.2876687332398411,6.982466127302471,0.0019568800308678268,False,False,True,True,True
1788617903.1567218,0.9132251473487553,6.176881181538567,0.001605905198661785,False,False,True,True,True
1788617903.2516053,1.1679686982371846,2.665669101102737,0.0033738982899171495,False,False,True,True,True
1788617903.3539119,0.5601194282602295,6.010945390623721,0.002364455132774024,False,False,True,True,True
1788617903.4580398,3.6629696422029,29.738265858449115,0.02568603693516777,False,False,True,True,True
1788617903.5609152,1.5320434963391882,20.059835534418454,0.020932498843984407,False,False,True,True,True
1788617903.6544855,1.7111699323407192,1.9601197621155413,0.011035665001114778,False,False,True,True,True
1788617903.7515304,3.011880355771654,13.962663213187938,0.013131691773983918,False,False,True,True,True
1788617903.8747506,4.510461573854743,11.812247431323984,0.09864672981622,False,False,True,True,True
1788617903.9572535,2.343449410543965,27.314702830200087,0.049094077898286875,False,False,True,True,True
1788617904.0549893,4.276945571858075,19.47475137987269,0.05008845409645687,False,False,True,True,True
1788617904.151014,2.611825724931849,18.11991300995609,0.025457075465308558,False,False,True,True,True
1788617904.2641613,1.2949364083014214,11.262745753741658,0.013316505461246672,False,False,True,True,True
1788617904.360267,3.454609887948781,22.325520775724595,0.026998690791254876,False,False,True,True,True
1788617904.4568524,0.9641716305947712,25.858462424915096,0.025730539629796736,False,False,True,True,True
1788617904.5489004,0.8624043778034618,1.2144058083423592,0.001454818308442793,False,False,True,True,True
1788617904.6626825,0.6468811339070016,1.854635693741092,0.0025266248252056264,False,False,True,True,True
1788617904.7528567,1.5169236438983296,9.656566084869553,0.005659318883980871,False,False,True,True,True
1788617904.848982,3.573304694853284,21.622593391907923,0.030174908038798468,False,False,True,True,True
1788617904.9676216,3.4695187426299485,0.7063525523435915,0.026959264926308957,False,False,True,True,True
1788617905.0584195,0.6602483968610314,29.743074628598094,0.02809961140712783,False,False,True,True,True
1788617905.1579044,3.648089428511873,30.05262200688037,0.023925066421975335,False,False,True,True,True
1788617905.249539,1.3561182515317964,25.03950250832729,0.034730549346514886,False,False,True,True,True
