interval_id,phase,scored,start_ts,end_ts,interval_valid,D_i,mean_velocity,mean_acceleration,movement_variance,total_blinks,gaze_deviations
1,TRAINING,False,1788619774.375,1788619776.847,False,,0.0,0.0,0.0,0,0
2,TRAINING,False,1788619776.847,1788619779.25,True,,2.149539176678728,14.087180918264046,0.019073734232488697,0,0
3,TRAINING,False,1788619779.25,1788619781.736,True,,1.7959076677628119,13.101111437654033,0.012715439370561975,0,0
4,TRAINING,False,1788619781.736,1788619784.231,True,,2.806702709324989,15.171393598221814,0.03375721950297616,0,0
5,TRAINING,False,1788619784.231,1788619786.653,True,,1.7384510490313516,11.646100396415335,0.013298563294084737,0,0
6,TRAINING,False,1788619786.653,1788619789.227,True,,1.1872951839676373,9.813761861206226,0.007484566349407343,0,0
7,TRAINING,False,1788619789.227,1788619791.597,True,,1.322023970467678,12.895820523698823,0.008500432232288566,0,0
8,TRAINING,False,1788619791.597,1788619793.96,True,,1.5624826048627976,13.022019084560961,0.010269304209063737,0,0
9,TRAINING,False,1788619793.96,1788619796.514,True,,1.491984492775507,13.634684330436185,0.012717795080378212,0,0
10,TRAINING,False,1788619796.514,1788619798.854,True,,1.4850828448373157,10.47632289872021,0.009085888552894964,0,0
11,TRAINING,False,1788619798.854,1788619801.398,True,,1.258851316639334,5.776005962956216,0.0067447447787965095,0,0
12,TRAINING,False,1788619801.398,1788619803.8,True,,2.607822106742727,13.32032979279812,0.024835533264907533,0,0
13,TRAINING,False,1788619803.8,1788619806.266,True,,1.5384054355698056,10.921045743196213,0.008651080845354368,0,0
14,TRAINING,False,1788619806.266,1788619808.82,True,,1.8575531909098981,12.8475056796122,0.012232748615500319,0,0
15,TRAINING,False,1788619808.82,1788619811.16,True,,1.8571031893143324,11.043736758883528,0.010461329335939837,0,2
16,TRAINING,False,1788619811.16,1788619813.723,True,,1.9061083764971414,15.50384703039194,0.020216706296265072,1,3
17,TRAINING,False,1788619813.723,1788619816.075,True,,2.076880394060376,17.472469944148767,0.028587618207827306,0,0
18,TRAINING,False,1788619816.075,1788619818.607,True,,2.8495611135964594,29.61860678616423,0.036709166564860715,1,0
19,TRAINING,False,1788619818.607,1788619821.098,True,,1.5893777746985884,11.977926935021346,0.010191098781916059,2,0
20,TRAINING,False,1788619821.098,1788619823.546,True,,1.1004288896218346,7.628411628206763,0.00544731389049066,3,0
21,TRAINING,False,1788619823.546,1788619826.015,True,,1.3881524629414512,9.42825226021188,0.007006415116266587,2,0
22,TRAINING,False,1788619826.015,1788619828.371,True,,1.6962595089632113,13.367173739361595,0.012744722463752762,1,0
23,TRAINING,False,1788619828.371,1788619830.807,True,,1.568511198449162,16.437602352831064,0.012136527570271073,3,0
24,TRAINING,False,1788619830.807,1788619833.223,True,,2.230875333753389,14.634201937973755,0.01645417534096372,0,0
25,TRAINING,False,1788619833.223,1788619835.69,True,,1.5015695612890294,12.930004194222443,0.010162326967552931,2,0
26,TRAINING,False,1788619835.69,1788619838.092,True,,1.9479091527553656,14.342051506129451,0.01740169975103114,2,0
27,TRAINING,False,1788619838.092,1788619840.594,True,,1.3394622127892841,9.395539577168732,0.007940266554168183,2,0
28,TRAINING,False,1788619840.594,1788619843.187,True,,1.7527572319504179,11.328285983770355,0.011786789416194413,1,0
29,TRAINING,False,1788619843.187,1788619845.759,True,,1.569937355442484,13.237869438218505,0.011329719093119252,3,0
30,TRAINING,False,1788619845.759,1788619848.192,True,,1.8242290227991507,14.626554432902799,0.013662371230088363,0,0
31,TRAINING,False,1788619848.192,1788619850.76,True,,1.5510459866695163,12.5884421827899,0.012038638451431927,1,0
32,TRAINING,False,1788619850.76,1788619853.316,True,,3.1835937066457474,25.486882417585047,0.05546988886059262,2,0
33,TRAINING,False,1788619853.316,1788619855.859,True,,2.5355492277336364,18.396509087616472,0.026494105987621436,0,0
34,TRAINING,False,1788619855.859,1788619858.205,True,,1.8172175813256906,14.097645277760963,0.015798134090108343,0,0
35,TRAINING,False,1788619858.205,1788619860.691,True,,2.468765980991079,14.157490989659081,0.020708620112690687,0,0
36,TRAINING,False,1788619860.691,1788619862.999,True,,2.0397067217752243,16.091402054564327,0.018091317642147643,0,0
37,TRAINING,False,1788619862.999,1788619865.45,True,,1.6655669027255222,16.796603946519777,0.012911026329142936,1,0
38,TRAINING,False,1788619865.45,1788619867.8,True,,2.242658897935456,15.814891875930458,0.0231309519243951,0,0
39,TRAINING,False,1788619867.8,1788619870.128,True,,2.097816993762357,18.455877279076983,0.015371885177253283,0,0
40,TRAINING,False,1788619870.128,1788619872.622,True,,2.1619227882341563,14.432252722559012,0.014220112328569552,0,0
41,FOCUS,True,1788619872.622,1788619874.7,True,1.0,2.6374393161873693,17.707711659219303,0.023966453745904587,0,0
42,FOCUS,True,1788619874.7,1788619876.747,True,1.0,1.971155512056868,11.40919879066386,0.0182866149168313,0,0
43,FOCUS,True,1788619876.747,1788619878.795,True,1.0,1.897430958249718,12.338165351101663,0.013783058164110688,0,0
44,FOCUS,True,1788619878.795,1788619880.891,True,1.0,1.517792494210603,14.789057996582217,0.010246260044320643,0,0
